* Project:       Midle
* File content:  soil heat conductivity and capacity
* File name:     .\out\heatparam.csv
* Model version: Swap 4.0.1
* Generated at:  2023-01-03 14:23:37
layer, theta,heacap(J/cm3/K),heacnd(J/cm/K/d)
   1, 0.00000,   0.10857E+01,   0.14487E+03
   1, 0.02540,   0.11919E+01,   0.21193E+03
   1, 0.05080,   0.12980E+01,   0.55581E+03
   1, 0.07620,   0.14041E+01,   0.62977E+03
   1, 0.10160,   0.15103E+01,   0.69888E+03
   1, 0.12700,   0.16164E+01,   0.76337E+03
   1, 0.15240,   0.17226E+01,   0.82357E+03
   1, 0.17780,   0.18287E+01,   0.87980E+03
   1, 0.20320,   0.19348E+01,   0.93244E+03
   1, 0.22860,   0.20410E+01,   0.98186E+03
   1, 0.25400,   0.21471E+01,   0.10284E+04
   1, 0.27940,   0.22533E+01,   0.10726E+04
   1, 0.30480,   0.23594E+01,   0.11146E+04
   1, 0.33020,   0.24656E+01,   0.11549E+04
   1, 0.35560,   0.25717E+01,   0.11939E+04
   1, 0.38100,   0.26778E+01,   0.12318E+04
   1, 0.40640,   0.27840E+01,   0.12691E+04
   1, 0.43180,   0.28901E+01,   0.13061E+04
   1, 0.45720,   0.29963E+01,   0.13431E+04
   1, 0.48260,   0.31024E+01,   0.13806E+04
   1, 0.50800,   0.32085E+01,   0.14189E+04
   2, 0.01000,   0.10702E+01,   0.13750E+03
   2, 0.03620,   0.11797E+01,   0.31733E+03
   2, 0.06240,   0.12892E+01,   0.53549E+03
   2, 0.08860,   0.13986E+01,   0.60252E+03
   2, 0.11480,   0.15081E+01,   0.66559E+03
   2, 0.14100,   0.16176E+01,   0.72486E+03
   2, 0.16720,   0.17271E+01,   0.78055E+03
   2, 0.19340,   0.18366E+01,   0.83292E+03
   2, 0.21960,   0.19461E+01,   0.88227E+03
   2, 0.24580,   0.20556E+01,   0.92889E+03
   2, 0.27200,   0.21650E+01,   0.97310E+03
   2, 0.29820,   0.22745E+01,   0.10152E+04
   2, 0.32440,   0.23840E+01,   0.10556E+04
   2, 0.35060,   0.24935E+01,   0.10944E+04
   2, 0.37680,   0.26030E+01,   0.11322E+04
   2, 0.40300,   0.27125E+01,   0.11691E+04
   2, 0.42920,   0.28219E+01,   0.12055E+04
   2, 0.45540,   0.29314E+01,   0.12417E+04
   2, 0.48160,   0.30409E+01,   0.12780E+04
   2, 0.50780,   0.31504E+01,   0.13148E+04
   2, 0.53400,   0.32599E+01,   0.13524E+04
   3, 0.02000,   0.11737E+01,   0.15338E+03
   3, 0.04430,   0.12752E+01,   0.46759E+03
   3, 0.06860,   0.13768E+01,   0.61272E+03
   3, 0.09290,   0.14783E+01,   0.68079E+03
   3, 0.11720,   0.15799E+01,   0.74448E+03
